标题,时长,作者名称,播放量,弹幕信息,评论数
英灵之躯 击落神明！不要眨眼 你永远不知道系列到底有多少英灵！FGO五周年纪念,4:11,战场ヶ原-,3130028,4267,3109
【萌新向】动画观看指南：十分钟搞懂~,10:58,南宮安夢,241985,589,1289
史上最震撼的一场打戏！黑化—视觉盛宴！,3:49,战场ヶ原-,2216809,3474,1720
【诚实吐槽】B站评分最低的，月球遗孤/Aposdasagfdhskj,14:44,瓶子君152,1903820,10569,9788
【/吉尔伽美什/金闪闪】黄金之王【建议佩戴耳机030 】,3:30,Rokuya_啵啵啵菠萝哒,964464,5434,2023
凡人之躯 比肩英灵！五分钟带你感受士郎的封神之战！【系列HF线/终章完结纪念】,5:11,夕晖の謊言,991539,883,1443
这一刻！英灵集结！这就是的魅力！,3:16,白轻云,356500,701,879
【原神】用的方式打开原神！再来亿次！！！,4:22,一只憨憨的阿九,1246882,1781,1203
【4K120帧收藏级】自渲染 HF线最燃 黑呆vsR姐 对战,13:30,琉特Newt,233540,565,387
[/ 群像]身为剑成，血如钢铁.Unlimited Blade Work！,5:2,Chouhen君,4047062,16846,4039
【互动测试】你在中的专属职阶是什么？,4:12,不知耻の紫烟老师,1447239,9611,13836
【FGO嘉年华·1080P】/Grand Carnival OP动画公开,4:2,莉莎娜,1301387,1228,1854
史上最烧经费打戏！英灵集结！夺回我们的未来！「/Grand Order」,2:34,蓝皮君丶,1005079,1420,1011
【浅谈】系列 观看顺序,5:45,LeeAJie,704274,1979,1693
【𝟒𝐊 𝟏𝟐𝟎𝐅𝐏𝐒】/stay night Heaven&#39;s feel第二章『黑呆b叔巅峰战斗』,2:36,新漫猫,831098,1239,1330
【/曾有你的森林】谨以此片，献给所有王厨,5:23,南宮安夢,83782,400,749
【剧情向】阿尔托莉雅的救赎：Saber-梦的尽头「LAST STARDUST」,3:39,泛式,943346,4970,2741
[FGO抽卡]我可太喜欢贞德灵衣了！试水waltz池子【コスプレ/cosplay】/Grand Order,8:39,Latteらて_拿铁,338,0,22
2019.9更新【咏唱/】你们要的无限剑制（UBW）完整咏唱（红A),5:13,Joshist,2185166,3454,1336
【Animenz】Last Stardust - /stay night [Unlimited Blade Works] OST 钢琴版,6:34,Animenzzz,643093,2331,1706
【/Grand Order】此为诀别神明,5:14,花宫二橙,1014852,1440,1448
【/远坂凛】搞不懂你们为什么要抢我老婆,2:19,原肥肥,382914,706,683
【全程高燃】战火起 英灵聚 拔剑为谁战！,4:4,机智的废柴君,6489145,40529,7687
神话之战！史上天花板级别的打斗！你根本不知道FGO可以有多帅！,4:6,不太正经の有希酱,199056,215,421
【全网独家首发】天之杯III春之歌精华篇,68:39,二次元王者revolution,253833,2568,2230
【鬼灭之刃 x 】全站最还原！同步率100%【版鬼灭之刃OP】——紅蓮華·LiSA,3:22,Berta佑,508776,1665,585
【Animenz】to the beginning - /Zero S2 OP 钢琴版,4:31,Animenzzz,371815,771,1008
【/HF】间桐樱：“前辈，我……脏吗？”,5:3,秃头の舰长,34013,142,381
【】献给红A，献给凛，献给弓凛一生推的你,5:12,南宮安夢,64297,203,418
【全程高燃】神殿之下，方舟之上，皆为战场！,3:24,Fawr,54336,103,178
【/高燃混剪】宝具 开放 十三拘束解放 圆桌决议开始！,3:15,果冻lv4,866691,558,523
【AMV/FZ】切嗣的救赎【/ZERO - AKROSSCON2014】,3:51,TsukiBito牛牛,2923943,5110,7852
《/ Stay Night Heaven&#39;s Feel III》卫宫士郎 vs Berserker（射杀百头投影战）,3:56,杀意大鸽,588683,639,1958
宝具全开！史上天花板级别的打戏！！HF完结纪念！！,2:10,Ishi丶,964423,1300,956
巅峰之战！史上巅峰高燃级别打斗！！！,3:52,某科学的未来预测,446863,332,559
【7月/剧场版/4K画质】/Grand Order -终局特异点 冠位时间神殿所罗门- 正式PV【MCE汉化组/中字首发】,3:44,夏日幻听MCE,1078762,1422,3112
【最全合集】《/stay night》中文三线全流程+46结局全达成+全英灵、武器官方设定集 BY 闷骚鸵鸟,6015:45,闷骚鸵鸟,265798,11320,846
【JOJO×/Zero】卫宫家的奇妙冒险,18:55,幻氵炙,888598,2177,2197
【/高燃】此生愿追随王至世界尽头,3:49,节能的老君,496671,3482,1258
「/stay night」15周年纪念企划宣传影像,4:16,哔哩哔哩游戏中心,246599,1395,1548
前方极致盛宴！！！全英灵一秒燃爆！ GRAND ORDER四周年纪念,3:19,战场ヶ原-,1741577,2288,938
【】间桐樱生贺,32:42,卫宫桜酱,2568,20,185
前方极致盛宴！！！全英灵一秒燃爆！ GRAND ORDER四周年纪念,3:19,战场ヶ原-,1741577,2288,938
【】间桐樱生贺,32:42,卫宫桜酱,2568,20,185
【凛酱生日作】版狐狸精 （毫无鬼畜）,5:16,不的发呆仔zero,1047686,18028,1336
【/系列混剪/疯狂踩点/高燃】全程高能！！！,3:19,黑星灬乄式,321804,703,516
【动画全系列燃向混剪】群星升起之时--这就是，你和我们的，夺回未来的故事吧,4:25,卡尔的小火人,343144,1246,525
巅峰盛宴！全员开大！此为诀别神明！,2:41,永远的我的鸟笼Me,384369,473,384
【系列/AMV/伪预告】「上篇：命运」,3:33,暗猫の祝福,654630,3816,1037
【该细还得细】/EXTRA世界线的前世今生(后),28:39,削人棍专用BGM,388562,1074,3277
【FGO】为什么我的新番跟你们的不太一样,4:0,那年的黄昏,252731,1359,291
「/stay night UBW」#20 插曲 Aimer「Last Stardust」(更新B站字幕版),8:40,Rin_kana373,1053807,7090,1606
最燃的10场战斗 [60FPS],20:22,王者之尊严,2346442,14657,4353
【FGO中文】动画「从漫画了解！/Grand Order」,14:40,小强凌凌柒,3432991,42304,4485
【】如果把UBW的剧情倒过来看，那么会发生什么,7:39,whitebuster,313715,5595,829
当你看时朋友走过来......,1:46,伊吕波Hazy,489302,276,375
为什么不应逃避生命中的痛苦——【人文学科视角下的”/ZERO ①】,41:36,美人logist,159246,5160,1333
一集封神！史上最烧经费的打戏！夺回人类史的明天！,4:36,一色彩羽廚,1153014,1941,976
【/金闪闪/吉尔伽美什/幼闪/旧闪】闪闪拿弓了！！！（各时期闪闪剪辑）,3:4,啊凉夕夕夕,311960,654,525
【/吉尔伽美什/金闪闪/燃爆全场】谁允许你从本王面前退下了？！,3:0,Prefazione言序,581211,3047,1444
【/金闪闪/吉尔伽美什/AMV】 I Like To Dance,2:59,慕羡鱼,3007768,64677,16734
【大片】剧场版《: 崛起》终极预告,2:8,庚夕子Yuuko,719334,1116,467
宝具释放场面合集,3:16,司咔撒酱,43618,36,43
【自制字幕】 GuDaGuDa Order drama CD,44:43,小强凌凌柒,1035866,18877,1425
【/孤勇者】谁说成为“英灵”的才算英雄！,4:16,克劳德-史卡雷特,37536,261,126
【/追光者/催泪向】因为你是光呀,3:24,Prefazione言序,340277,2492,846
【官方剪辑】The Essentials of “ Series” - 人類史最大の英雄譚 - | /Grand Order 配信3周年記念映像,4:53,小强凌凌柒,588821,4496,2772
【/Duel Links】亚瑟王不可能是个女孩！！,10:56,卷饼猫,443038,905,613
2021年，还有人记得吗？,3:34,动漫唯美风,160831,707,701
【/Grand Order】第五特异点——北美神话大战,0:15,哔哩哔哩游戏中心,442568,837,1685
【Animenz】红A帅醒歌 - /stay night UBW OP2  钢琴版,6:27,Animenzzz,1763698,17152,3280
【/吉尔伽美什】闪闪的哈哈进化史,1:33,狐琴琴琴,493951,1256,739
巅峰盛宴：当我宝具解放的那一刻，全世界将无人能与我为敌！,3:17,咲珑总是如此勤勉,1809494,2212,1275
【凉风】不正经解说/Zero：千万不要惹二次元的单身狗,6:44,凉风Kaze,515845,1213,391
最宏大的一部，全英灵燃爆全场【FGO三周年纪念】,2:1,战场ヶ原-,1431370,3749,1440
【手书】与名为命运的怪物战斗的英雄们,9:50,Siya_Ho,1211661,6625,3801
【动画】玩FGO的Saber桑 01,4:14,洛飕飕,1244540,6283,3763
【/明鏡肆水完整版AMV】武士之魂，存于心不流于行,4:49,优雅好人,254169,245,283
 Zero动画化！灼眼夏娜最终季！2011年十月新番导视！,12:39,SAO东西又在说SAO话,671258,4339,3375
【/EXTELLA LINK】全宝具合集,14:56,Colimit-of-yummy,414902,3810,731
【动画】玩FGO的Saber桑03,4:42,洛飕飕,976794,1568,1188
【2022年1月/剧场版】/Grand Order -终局特异点 冠位时间神殿所罗门- BD发售告知CM【MCE汉化组】,0:32,夏日幻听MCE,227937,22,488
【FGO】/Grand Order全剧情合集(特异点主线+活动剧情+幕间物语）（更新中）,2770:43,傲幽,761802,21834,1154
【木鱼微剧场】《/Zero》（下部）命运之夜前传,29:24,木鱼水心,631148,7999,3299
【FGO】/Grand Order全剧情合集(特异点主线+活动剧情+幕间物语）（更新中）,2770:43,傲幽,761802,21834,1154
【木鱼微剧场】《/Zero》（下部）命运之夜前传,29:24,木鱼水心,631148,7999,3299
【天花板】阿提拉本尊,30:24,yane羽毛,408162,975,1477
【 x 假面骑士】fgo第三季的OP找到了——【Be The One】,1:28,Berta佑,293559,451,422
【自制动画第三期】Lorelei,3:31,洛飕飕,305183,1511,1862
【灵魂配音/翔少主】17分钟带你看完 Apocrypha！！,21:3,翔少主,194148,2044,766
【】热爱105℃的阿尔托莉雅,3:9,天空本是空白,167545,213,467
【ZYL】-EMIYA,4:7,Z.Y.L,2762017,14517,6972
圣杯战争——起始与终焉【 Zero/预告向】,2:36,紅A先生,460084,185,105
这部动画到底算不算系列中最烂的一部呢？/Apocrypha浅谈【小黑动画】,14:1,彼望黑,272598,2259,4550
【暗猫系列/HF线】无尽深渊「上篇」,4:26,暗猫の祝福,470323,1900,3006
【杂谈】10分钟带你看一到五次圣杯战争,10:33,LeeAJie,658898,4495,2121
震撼2020年！吾王剑之所指，吾等心之所向！——【·Saber人物志】,4:28,墨子笙,480466,2424,820
【】出山！,3:19,SAO东西又在说SAO话,666522,1319,653
【JOJO×/Zero】卫宫家的奇妙冒险 预告,0:24,幻氵炙,296427,418,725
【预告】你的名字 版,3:40,科学超电磁炮F,480373,3011,1986
【钢琴】令人肝疼的音乐《/Grand Order》ost《運命 ~GRAND BATTLE~》,2:22,绯绯Feifei,427525,331,819
【片段】剧场版 「 Grand Order -神圣圆桌领域卡美洛-前篇 Wandering Agateram」,15:41,棗黑子Ms,662931,1324,1871
【/手书】我哥敢吃shi！“我不敢！”【灵魂手绘/沙雕手书】,0:22,纸欣Dream,855724,344,936
【/MAD】如果红A最初便出全力的话,4:47,FATE零零七,446405,3052,1786
【茶理理】色彩 - /Grand Order,1:35,茶理理理子,690247,3991,4719
【原神】用打开原神,5:42,単色人,103036,373,661
【字幕】年末SP GudaGuda部分,5:59,八本松神大,423887,3373,364
【/1080中字】官方FGO三周年纪念视频 燃！,4:54,流牙乱舞,1401756,7003,1637
【全系列/高燃】吾剑将随汝同在！汝之命运将与吾共存！！,3:47,被玩坏了的伊莉雅,587557,2381,641
【登月计划】 stay night深度解析Part7.在那白雪飘落的地方,18:33,阿卡林嫁给我吧,158597,1384,804
【暗猫/系列/AMV】Salvation「下篇：救赎」,18:18,暗猫の祝福,1603734,15707,3786
【RPG/中文/全动态】逆命REVERSE  V2.10 空白破解版[国语配音]【PC+安卓/4G/全CV】,1:48,姜慕斯,3613,0,37
【手书】当爸爸知道女儿有男朋友时的反应,1:21,洛飕飕,278734,302,442
【刺客信条全员】A Demon&#39;s    燃向Fanvid,5:40,手机用户芝加哥911,507256,4315,611
【 HF Ⅲ】R姐超帅宝具-骑英之缰绳,1:59,中二の冰痕,380726,311,1546
【全程作死】 一小时彻底玩坏/Zero，第一弹,77:55,发癫的四叶草,1597690,185533,3021
【/全程爆燃/兰斯洛特/Berserker】我来让你的耳朵爆炸,4:10,伊莉雅斯菲尔づ,414176,1380,1553
【红石音乐】春はゆく（春之歌）【/stay night】,4:58,Soma-Komeiji,106076,224,377
【无限列车 x 】终极乱入！同步率100%的OP重制【明け星-LiSA】,1:35,Berta佑,87232,263,196
【AMV】/zero,4:55,望月haruka,406550,8774,873
【】那位少年已然前行  One Last Kiss,4:27,笙歌落TQ,49181,108,283
【/Cloud】你能猜出他们的职阶吗？#1,1:56,克劳德-史卡雷特,294978,1533,759
【/Grand Order】首次联动——空之境界震撼来袭,0:15,哔哩哔哩游戏中心,822498,2264,2149
 stay night  HF线 士郎VS黑saber,25:36,轻装大兔18X,458715,1195,423
战火起!英灵聚!你根本不知道可以有多帅！,3:50,不太正经の有希酱,127753,265,369
《》真名 解放 以下宝具释放台词你都记得多少呢,2:11,纳蘭慕白,278038,133,245
【灵魂配音】14分钟带你看完： Grand Order 绝对魔兽战线 巴比伦尼亚！！,15:5,翔少主,173375,1613,405
目标神奇宝贝大师,4:40,科学超电磁炮F,606736,12197,1346
“翩若惊鸿，婉若游龙！这才是该有的样子！30s不投币算我输！”,2:47,白露饮尘霜o,195601,313,1146
【FGO丸里瞎】/Grand Order 迦勒底放送局 Vol.21  冬日祭 2021-2022 白色情人节 北海道会场,7:22,丸子,33389,65,218
 X 改革春风吹满地,2:30,科学超电磁炮F,503616,1184,719
【/莫德雷德/燃向】我会以此剑守护不列颠！,3:20,M陌落,375721,1671,650
英灵聚集！ 宝具全解！ 这就是的魅力！,3:20,白轻云,163405,174,397
全村挂逼，的圣剑在他们眼里就是根垃圾？！这是个什么情况,5:6,郁郁_Yu,1005769,1625,1237
【杂谈】12分钟盘点9部作品，为什么原作厨天天推游戏？,12:53,LeeAJie,593150,6054,16336
【灵魂配音】13分钟带你看完/Stay Night 第二部 UBW线！！,13:51,翔少主,266897,1794,532
【登月计划】/stay night深度解析Part10.正义的伙伴,37:35,阿卡林嫁给我吧,550522,5128,2131
 Zero最烧经费的一段 每秒都是钱啊,6:0,aemoe,875387,3200,968
/美杜莎R姐不输库丘林的燃爆场面,3:25,离梦翼,225372,286,820
【/Grand Order手绘】那什么的FGO【再现】,2:45,幻想乡的新月,588496,2164,1052
 UBW的经典战役在无人岛上再现,0:13,哔哩哔哩游戏中心,388992,277,499
【150骑英灵】不要眨眼！你根本不知道fgo可以有多帅！史上最宏大的系列！命运冠位指定三周年纪念!,3:15,战场ヶ原-,2992174,4833,2634
【游戏歪报】从系列看历史人物在艺术作品中角色形象的有效呈现,6:27,性巴莎拉,560744,3231,6366
【熟肉】 咕哒咕哒 ORDER 2016忘年会,5:59,小强凌凌柒,868026,6875,1210
【高清】COSER高仿神还原《/stay night 》第13话删减片段,1:56,滴露滴露,443409,1006,814
阿尔托利亚队，参上！（嘉年华）,1:42,龙傲天不傲天,173833,78,145
【】全英灵从者资料合集·17年夏,324:35,光之主,439082,15143,1980
【10月/OVA/FGO嘉年华】/Grand Carnival 第二季 正式PV【MCE汉化组】,1:49,夏日幻听MCE,354947,369,876
【/人力】奥伯龙的ドラマツルギー（拟剧论）,4:6,是开心的烂瓜,1445,1,12
【钢琴】《骑士王的荣耀》—《/stay night》经典OST  /騎士王の誇り,4:12,绯绯Feifei,472858,775,1344
【人物志】远坂凛-魔术的眷顾者,7:31,侑子_YouZ,13084,20,95
【剧场版/FGO】/Grand Order -神圣圆桌领域卡美洛- 后篇 Paladin; Agateram 16分钟先行影像【F宅/1080P+】,16:48,空灵雨迹,559096,1777,1054
《宝具》《真名》 《解放》将近七分钟的宝具原始轰炸视觉盛宴 试问谁扛得住? fgo,6:55,瑠夏的心跳,37361,8,82
当年的勇者，终究成了恶龙【】,2:10,康娜也爱二次元,141389,11,249
高燃R姐，这就是你们收藏在仓库里的三星Rider美杜莎,2:9,离梦翼,32869,66,289
【剧场版】/stay night[Heaven&#39;s feel] 士郎与樱的魔力补给【灵魂作画】,2:21,纸欣Dream,381138,1283,1424
【/高燃】吾等是英灵，是过去之人的影子！,3:5,霞梦君,318368,346,566
【好莱坞大片预告式】Sword of Salvation【/Zero】,4:23,luckedits,503555,5504,654
【/Grand Order】人智统合真国 SIN 红之月下美人,0:31,命运-冠位指定,1136611,5635,3628
：教你制作一把黑saber的宝具武器 3D建模,4:26,大魔王B菌,906871,2068,1212
【史诗向/震撼/MAD】圣杯神话— zero/stay night,4:56,寂寞风尘,2393818,25719,5036
尼禄圣诞歌padowo padowo,1:23,米库の猫,131813,70,149
[OVA] /Prototype 1080P [澄空&amp;魔术工房&amp;华盟],12:13,色禽,1711119,16683,5397
【天堂播映室】十分钟带你看完系列动画的故事,11:25,尕丶天堂,427028,5378,2042
【】带你认识  系列各作品中的 卫宫士郎（千子村正篇 完）,33:53,激萌の堕酱,98149,306,210
【/Zero·授权MAD付】满天【紗由】,5:15,紗由由,345232,4250,1694
【FGO周年庆】50位英灵带你回顾国服一周年大事件「/GRAND ANNIVERSARY」,3:54,泛式,1177194,8873,3307
【2020】（字幕）剧场版「/Grand Order -神圣圆桌领域卡美洛-」　第1弹特报,2:8,棗黑子Ms,852067,921,2001
剧场版：卫宫士郎不可描述的梦,1:5,ZKXLL,688956,322,493
【FGO/高桥李依】命运-冠位指定(/Grand Order) 上线5周年纪念 动画PV【F宅/1080P+】,1:35,空灵雨迹,380773,703,598
这样的你喜欢吗,1:21,醉心无妄,851929,1930,763
【】以三枚令咒作为代价：【赐你为我垂听的机会！予你与我对谈的光荣！饶你面会于我的无礼！】,3:17,英雄杀手ゴルゴーン,85544,34,109
系列主题曲集「 song material」试听动画,12:51,哔哩哔哩游戏中心,251894,1833,838
在超跑上痛是怎样一种体验,4:51,汐渚之岸,684708,7104,2426
全职阶英灵原型介绍#1 剑阶,4:35,AC大集结,79564,186,149
【/stay night [Heaven&#39;s Feel]】你我约定之处，繁樱盛放——我将永远守护在你身边！！！,8:0,小小☆精灵,192562,377,542
4K60帧/Zero吾王Saber[誓约胜利之剑]EX-calibur 极限画质挑战,1:43,猫耳控啦,299291,362,292
【剧情向】谨以此作，献给切嗣与士郎：理想 救赎 传承,5:35,南宮安夢,3568,11,72
女装都救不了！？几分钟吐槽/Apocrypha,10:35,中二少年晓凯,313509,2680,1913
离大谱寻书：同人召唤斯大林，开启圣杯战争，郑和下西洋，横扫欧洲各国！！！,8:11,寻书启示,19850,229,261
【/MMD】迦勒底人理拯救组·桃源恋歌（大家都在的桃源乡~）,4:1,1010浣,349712,6280,1014
/Zero 中文配音 第三话,23:34,saber酱,714998,66176,989
【自制动画第五期】决断之夜-当士郎下手的话会怎么样？,3:11,洛飕飕,225915,454,652
【5月/剧场版】/Grand Order 神圣圆桌领域卡美洛 后篇 正式PV【MCE汉化组】,1:52,夏日幻听,408426,234,832
/stay night  一鸣惊人的销量之王  （2004）,5:31,galgame藏经阁,13736,75,395
街机游戏《/Grand Order Arcade》梅林Prototype〔Caster〕介绍动画,1:15,哔哩哔哩游戏中心,638240,423,1251
【动画】父慈子孝直播间（呆毛王线）,1:44,PXLDOC,495053,302,372
【】敲响冠世一战最后的钟声 全英灵之战,4:35,一色彩羽廚,397821,1104,443
【手绘】清华考试专用纸画saber 420分钟吾王应有尽有!!《/stay night》小孩子才做选择，我全都要！,3:1,皮亚罗,262542,795,992
[-hf]HF线樱的补魔？我也就看了500遍,1:3,游戏动漫娘,829339,693,1811
【暗猫系列完结作】Broken Night「终章：心碎的夜」,9:50,暗猫の祝福,950744,7052,3096
【型月】全从者+全MASTER,53:36,君が望む下限,604361,26514,1664
三人合唱《/zero》OP！ 绝美和声—— To the beginning,8:30,多多poi丶,692788,1505,1584
【全景视频】无限剑制,1:23,旧式玖,168809,230,404
高燃混剪，宝具全释放~经费爆炸的瞬间！,3:16,裕川_-,26709,74,78
【剧场版/2019年】/stay night [Heaven&#39;s Feel] Ⅱ.lost butterfly  正式预告【F宅/1080P+】,1:47,空灵雨迹,675472,436,1930
【神话之战】英灵VS神灵—史上最强英灵对决之一！！！命运-冠位指定 绝对魔兽战线 巴比伦尼亚 08,6:53,战场ヶ原-,1587269,1896,1922
【FGO宣传】世界深陷於空虚 // holLow wORlD「系列角色混剪」,3:3,暗猫の祝福,600022,3296,2599
【】带你认识各作品中的远坂凛与间桐樱（Extra篇）,33:22,激萌の堕酱,29232,348,120
[mad/燃向/]凡王之血，必以剑终！！！（请佩戴耳机食用）,4:6,yurine,504995,1832,500
【惊艳】完全体伊莉雅，此刻艳压群芳，所有的女主都不如你！【】,2:29,康娜也爱二次元,266918,135,585
/Grand Order -Cosmos in the Lostbelt- PV,3:19,命运-冠位指定,923284,6229,3504
宝具全开！史上最震撼的打戏！这才叫英灵！全程高燃！！！戴好耳机！！！,3:21,二代二代,252153,248,296
【】2022年了，还有人记得第四次圣杯战争的神之对决和第五次圣杯战争的超越自我吗？,5:30,时年卍,11323,10,56
【FA完结吐槽】对不起！我只是四天王中最弱的那一个！「如何评价/Apocrypha？」,11:17,泛式,2063990,16284,15003
【/Apocrypha】中那些你不知道的事,12:54,中二少年晓凯,354910,3147,959
范丞丞蹭二次元热度翻车！刀剑神域属于系列？明星为何沉迷二次元人设？,4:3,卡密の密,432425,5533,3741
-贞德-长枪 纯金属制造【AWE】,17:9,万能的海螺,1056155,4708,1125
【迦勒底周年庆】系列史诗向混剪——圣杯的战火，还将继续燃烧！,4:1,暗猫の祝福,669502,2407,4728
【/高燃】宝具一响  爹妈白养,3:16,埼玉家的二弟子,356164,606,906
[系列【15周年纪念】【高燃】 让我们穿越最深的地狱，而后直抵天堂,6:3,御宅硕,291595,1122,771
【 Grand Order Arcade】全从者宝具动画集（截至2019.1.27版本）,8:7,DarkZerg,361113,1966,492
【/燃向】为了那如今仍是遥远的理想之城,3:42,JiugaipinRu,845920,2555,871
【FGO·1080P】/Grand Order 新TV CM,0:16,莉莎娜,463861,145,579
系列有多少作品被我们错过？,4:34,宝贝虎,245412,593,723
【/HF史诗级混剪】你要背叛吗，卫宫士郎,2:25,丶武道魂丶,353814,381,505
/FGO超还原桌游介绍，34位御主，89位从者，23个月持续性更新的同人作，粉丝制作的fgo桌游,25:29,异次元的misaki,113147,222,278
【1080P中文字幕】/Grand Order 2018年特别篇 从漫画了解FGO【百度鲁邦三世吧】,14:40,魯邦叁世,1481090,10278,1114
【/MAD】 理想与正义！！！,5:31,小小☆精灵,1638943,7228,3553
【/HF线/MAD】樱，你的声音绝不会消失！その声消えないよ！,5:23,七月听雪眠,405281,733,969
【/Grand Order】第六特异点——神圣圆桌领域,0:15,哔哩哔哩游戏中心,518226,1753,2606
【剧场版】/stay night HF线 第一章 最新视频【F宅】,8:36,空灵雨迹,371917,2073,2402
《/Grand Order》国服官方宣传视频,3:11,哔哩哔哩游戏中心,7292555,42731,40978
【深度解读/Zero】一个虚无主义的童话,27:45,DZaloe,223205,2050,1730
【】呆毛王拔掉呆毛了！！！,2:27,旧番就是昨天的番,125667,92,107
【2020年3月/剧场版】/stay night [Heaven&#39;s Feel] 第3章 春之歌 正式PV1【MCE汉化组】,1:34,夏日幻听,660951,838,1572
【动画】父慈子孝直播间（小莫线）,1:45,PXLDOC,271427,177,193
Aimer的温柔声线《花の唄》带你重温 HF线的感动【BML2020单品】,6:26,BML制作指挥部,370340,1865,1775
【/书记】小樱手中剑、作死的慎二【沙雕手书/灵魂作画】,3:46,纸欣Dream,223957,441,571
【中日双字1080P+】【/Grand Order】德川廻天迷宫 大奥 CM,0:31,=_=方泊,901001,928,1161
让不了解的群友猜FGO英灵职阶有多欢乐 第二期,2:18,头号呆毛,37218,32,107
【系列/卫宫切嗣传】那天晚上你曾这么问我——“将来想成为怎样的人？”【TS映画】,3:22,-TS映画-,281517,829,982
史上最烂剧场版，满分原作改编成负分作品,10:38,宝贝虎,505018,2337,2240
【/格蕾/终焉之枪】闪耀与终焉之枪（咏唱完整版）,2:2,萌萌哒正义伙伴,452611,156,207
【命运夜谈】为什么说樱的故事足以让上一个档次？聊聊HF线的剧场版第二章——《命运之夜 [天之杯] II. 迷失之蝶》感评,14:36,美人logist,637775,4139,3828
中那些令人热血澎湃的宝具吟唱，燃烧我的中二之魂！,1:53,MonM2645,49754,52,58
HF三部曲总评——人文视野下的/天之杯是一个怎样的故事【命运夜谈】,39:21,美人logist,208559,5831,1367
【名梗盘点】食我咖喱棒啦！盘点系列名梗TOP10！,11:4,在下三少啦,603755,2182,833
【中日双字1080P】【/Grand Order】All信長総進撃 咕哒咕哒Final本能寺2019 CM,0:31,=_=方泊,541961,206,397
【/Kaleid Liner/雪下的誓言】卫宫巨侠，为妹而战,2:44,某二丶,890598,1588,1881
【 HF线/AMV】Blood Moon「中篇：猩红之月」,7:53,暗猫の祝福,453753,1640,1025
/stay night UBW 第20话 插入曲 完整版,10:28,浮夸你个头,580396,9169,1292
【亮剑】遵从召唤而来，你他娘就是老子的master吗？,1:31,黑白零度的反向指标,488868,724,273
【】格蕾：⚡️Grave For You！！！⚡️,1:23,穆夜烬,11494,0,95
【/燃向】我曾向整个英灵殿求助，然而回应我的只有我自己。,6:25,万圣之情独圣独我,453267,396,781
【/Grand Order】「色彩·逆光·跃动」主题曲动画,5:9,命运-冠位指定,521456,5518,2968
【11月】/Grand Order 虚数大海战 动画CM【MCE汉化组】,0:31,夏日幻听,515079,36,346
【/kaleid liner/雪下的誓言/AMV】 绝望与信念！！！,4:23,小小☆精灵,640994,1914,1418
【/高燃】今夜，我将用宝具砍个痛快！,4:5,埼玉家的二弟子,345593,504,661
【/GO日服】油管上面回1亿血量的亨利·杰基尔＆海德的视频，最高的回血记录，,4:9,总是抽到麻婆的诺子,112859,109,227
【/献给所有王厨】致吾王：阿尔托莉雅的救赎,5:10,南宮安夢,309224,534,1676
之贵圈真乱,6:4,科学超电磁炮F,244723,2526,894
【/kaleid liner/雪下的誓言/AMV】 绝望与信念！！！,4:23,小小☆精灵,640994,1914,1418
【/高燃】今夜，我将用宝具砍个痛快！,4:5,埼玉家的二弟子,345593,504,661
【/GO日服】油管上面回1亿血量的亨利·杰基尔＆海德的视频，最高的回血记录，,4:9,总是抽到麻婆的诺子,112859,109,227
【/献给所有王厨】致吾王：阿尔托莉雅的救赎,5:10,南宮安夢,309224,534,1676
之贵圈真乱,6:4,科学超电磁炮F,244723,2526,894
【木鱼微剧场】《/Zero》（上部）命运之夜前传,29:53,木鱼水心,775235,10096,3774
/FGO版万神纪【我今天就是要带上咕哒子，全程核能，PV还原】,5:16,那年的黄昏,404605,4566,1097
