mid,sex,vip
301102841,男,0
14751040,女,1
18943114,保密,1
455711090,男,0
26996968,保密,0
814133,男,1
396071811,男,1
351986419,保密,1
49999303,女,0
321370841,男,0
674648810,女,0
406871371,女,1
282825934,男,1
13685338,男,1
182499803,保密,1
113622932,男,1
435222910,保密,0
28502125,保密,1
283800910,男,1
512278325,保密,0
398455076,保密,0
760048,女,1
395664075,男,0
17753455,女,1
492842741,男,1
399497375,女,0
22465240,保密,1
411174800,女,0
488137624,男,0
32708543,保密,1
512143259,女,0
929896,男,0
289912282,男,0
85773430,男,0
25266375,男,1
26851805,保密,0
1038982916,保密,0
362710732,保密,0
14490331,女,0
627281135,保密,0
57384580,女,0
1108287037,保密,0
521220199,保密,0
11399495,女,1
660346326,保密,1
22942209,男,0
65480973,男,1
404415670,男,1
314163801,女,0
171724826,男,1
648800088,男,0
446037814,男,1
397229375,保密,1
245843503,保密,1
159190809,保密,1
153917551,保密,1
481940350,女,0
421668505,男,0
22508246,男,1
493872437,男,1
352479603,男,1
179400905,男,1
356302077,男,1
36102419,保密,0
457450302,男,0
8977218,男,1
259034415,保密,0
23206722,女,1
10490663,保密,1
455453981,保密,0
1919873466,保密,0
3461931,男,1
179211261,男,1
5986670,保密,1
32305609,男,1
46360041,保密,1
6086519,保密,1
2038183522,保密,0
645891412,保密,0
282526039,女,1
480977089,保密,0
475408527,女,0
511373740,男,0
4247267,男,0
32934042,男,0
282878976,男,0
86407855,保密,0
291406638,男,1
500204937,男,1
34301436,保密,1
502032823,保密,0
1984721,男,1
199410469,男,1
1901391132,保密,0
477794394,保密,0
527156907,男,0
2000154241,女,0
74113466,男,1
11165870,男,1
43762396,保密,1
88736173,男,1
479863507,男,0
283697660,女,1
411156712,男,1
393527616,保密,0
2116066355,男,0
507578888,保密,1
389365240,男,1
221452780,保密,1
179032374,保密,1
180816622,保密,1
1368029394,保密,0
22465240,保密,1
630702664,保密,1
475621734,女,0
565743886,男,0
677073060,保密,0
25816459,男,1
255653412,男,0
15516825,男,1
34406218,男,1
1286593989,男,0
504727474,女,0
496863768,保密,0
434222740,男,0
438392980,男,1
288245296,保密,0
20793037,保密,1
3110722,男,1
518056130,男,1
253128255,保密,1
693069106,女,0
690022056,保密,0
323835774,男,0
157373582,女,0
44499943,男,1
123704798,保密,0
184613434,女,0
510107444,保密,1
24218712,男,1
436757649,保密,0
21782658,保密,1
1237650354,保密,0
259318443,保密,1
23936901,女,1
490563842,保密,0
382126508,男,0
512796561,男,1
609672820,保密,1
375603937,女,0
332914483,男,0
2074712,保密,1
343308193,保密,1
2040075533,男,0
506001820,男,0
24325951,男,1
399497375,女,0
39670372,男,1
290913043,保密,0
32194844,男,1
323735117,女,0
485441268,保密,1
2025202400,女,0
182499803,保密,1
2911831,男,1
560451519,女,0
404214508,男,1
491164714,保密,1
159637404,男,0
591795492,男,0
37077562,保密,1
521558453,保密,0
399945094,保密,0
287408876,保密,1
66945896,男,0
43419730,男,1
237765914,男,1
202637,保密,1
35672519,男,0
388527251,保密,1
372703252,男,0
199790693,保密,0
399595513,女,1
400529170,保密,1
477912874,保密,0
6500411,保密,1
615969881,女,0
344314199,男,1
22442752,保密,1
1704662514,女,0
507247005,男,0
399450417,女,1
571968401,男,0
444960681,女,0
76646048,男,1
402744123,女,1
630693242,保密,1
442612059,保密,0
2521355,男,1
1224212155,保密,0
135193645,男,1
8974388,男,1
449262853,男,0
45460377,保密,1
456060408,男,0
457226236,保密,0
266283616,男,0
20819784,保密,1
493896042,男,0
272070934,男,1
1482324,女,1
439725256,男,0
439300344,女,0
35253963,男,1
1705219482,男,1
25592616,男,1
111239812,男,0
1935475657,保密,0
1450547115,保密,0
30584469,男,1
398296310,保密,0
442399793,保密,0
40899732,男,1
49796798,男,0
522102648,女,0
389982093,保密,0
449285368,男,0
13283227,男,1
1495520565,男,0
412923289,保密,0
82517264,保密,0
452297622,保密,0
22776536,男,1
415252712,女,0
288230782,男,1
229493515,保密,0
350954098,男,1
350845058,女,1
541800334,男,0
544510193,保密,0
241831011,男,0
1378142723,保密,1
1717636060,保密,0
45335419,保密,1
160208564,保密,0
29287070,男,1
295272028,保密,0
1221233106,保密,0
2073578071,保密,0
62970371,男,1
79115808,保密,1
348642331,男,1
107647971,保密,1
289911744,保密,0
38889389,保密,1
518983208,保密,0
506422247,保密,1
471599625,男,0
325128354,男,1
95745693,男,1
356159259,保密,1
297472514,男,0
349451847,男,0
295189537,保密,0
442166741,男,1
17756968,女,1
629193680,保密,1
25514438,男,1
1773559344,女,1
42876748,女,0
1062152512,男,0
519943870,男,1
280690942,保密,1
1781991,保密,1
23702120,保密,1
527173449,保密,0
373190536,保密,1
19731438,男,1
101087857,保密,0
501691285,男,0
320794270,保密,1
1176308631,保密,0
23481473,女,1
398591507,保密,0
403225785,保密,0
385549584,保密,1
14324530,保密,0
358931983,保密,0
354522666,保密,1
302509821,男,0
77040439,保密,0
1912435182,保密,0
514615509,保密,0
350736646,男,0
209661169,保密,1
33543286,保密,0
438484948,男,1
51276276,男,1
67912592,女,0
22860857,男,1
500529533,女,1
40185046,保密,0
431320049,女,0
411400732,保密,0
302509821,男,0
420360268,保密,1
22238340,男,1
572201484,保密,0
526540691,男,0
388234763,男,0
137590434,保密,0
347673200,保密,0
524975895,保密,0
488694735,男,1
1087168314,保密,0
74332634,女,0
65962224,女,0
1018261952,保密,0
7298257,男,0
59499105,女,1
439114770,男,1
394732769,男,0
14369579,男,1
38150341,男,1
496754651,保密,0
438096555,保密,1
535206316,保密,0
4338592,女,0
315392209,女,0
435257447,保密,0
1425635,女,1
26146080,女,1
389867799,保密,1
508216765,女,0
179954825,保密,0
290508360,男,1
34712341,男,1
204742315,男,1
431052076,保密,1
506977768,男,0
29166559,保密,0
379006528,保密,0
516576042,男,1
22925799,保密,1
13587008,保密,1
21973396,男,1
171757772,男,1
34467702,保密,1
323618938,女,0
288165149,保密,0
397791910,保密,1
409645059,男,1
393774138,保密,1
299912379,保密,1
495404644,男,1
442460268,女,0
591606722,女,0
497859285,女,0
20136228,保密,1
333835,男,1
273377107,保密,0
7131751,男,0
348869471,男,1
1850844400,女,0
267980253,保密,1
19474169,保密,0
255563733,保密,0
249660987,女,1
243884234,男,1
32091370,男,1
452968949,女,1
1445887862,男,0
115464968,保密,0
229743567,保密,1
249217253,保密,0
349202680,男,0
115472908,男,0
1479303958,保密,0
29148125,男,1
38101212,保密,1
696103152,保密,0
434653817,男,0
115472908,男,0
481848225,女,1
351201304,男,1
281222492,男,1
178947053,男,0
400963580,男,0
177262806,保密,1
408770796,男,0
171825159,保密,1
289531239,男,1
20225253,男,1
390952962,保密,0
578714457,保密,0
1564645292,女,1
126110829,女,1
355079648,女,0
38739483,男,1
495814974,保密,1
434582779,保密,0
562587235,男,1
455560877,保密,0
32960876,男,0
471100382,女,0
694608987,保密,0
1847317,男,1
158322672,保密,0
43913250,男,1
493721981,保密,0
424705490,保密,0
429812258,保密,1
79955881,保密,1
1060899445,男,0
1719228,保密,1
482126742,保密,0
1911471679,保密,0
569127852,男,1
1522886,保密,1
385962224,保密,0
93724435,保密,1
157274085,保密,1
415358279,保密,1
11063064,男,1
1555552937,保密,0
644174838,男,0
504622918,保密,1
397024877,男,0
1117424823,保密,0
526507724,保密,0
39937708,男,0
647966259,保密,0
35020553,男,0
677074649,女,0
12025624,保密,1
95804374,男,1
53261356,男,1
411174800,女,0
452525055,保密,0
425646394,保密,0
510056969,男,1
344451345,保密,1
29428247,男,0
35733336,男,1
430242754,保密,1
288591698,保密,1
109477647,男,1
12350398,男,1
455711090,男,0
1246282319,男,0
24342481,保密,0
89292380,女,1
67082206,女,0
34487254,男,0
388237402,女,1
1158588796,女,0
2069395424,保密,1
237718269,男,1
321471182,保密,1
397472905,男,1
394717553,女,1
1963756,男,1
102557280,保密,1
412933817,保密,0
522621050,女,1
379248155,男,0
32885373,女,1
1698626067,男,1
216701904,保密,0
2309842,男,0
38336298,保密,0
39643563,男,1
61211912,男,1
296734035,男,0
521329129,保密,0
84231237,女,0
1174435753,保密,0
484944136,男,0
357428794,保密,0
523349717,保密,0
106628615,保密,1
29217429,保密,1
522691103,保密,0
26086600,男,1
109488977,男,0
297265415,女,1
345983043,女,1
333549494,男,1
436757649,保密,0
152811355,女,0
700808890,男,1
507443294,保密,1
400532308,男,0
291202439,男,0
3789745,男,1
501408188,男,0
93869939,女,1
15058538,男,1
393692164,男,0
539561028,保密,1
50680763,男,1
33420376,女,1
524562042,保密,0
349768085,保密,1
321173075,男,1
1054571952,保密,1
400483505,女,0
281647952,保密,1
34864462,保密,1
525872898,男,0
434246402,男,0
511158026,保密,0
1915087743,女,1
1016018327,男,0
398065544,保密,0
501564386,保密,0
14870744,保密,1
24529195,女,1
3206325,男,0
2040654829,保密,0
106338202,保密,1
415166320,保密,0
1657318490,女,0
269031807,男,1
351530199,保密,1
178025074,保密,1
1428196443,女,0
76067036,男,1
131747929,女,1
363776431,男,0
528811112,女,1
501007265,女,0
399863770,保密,0
434101114,男,1
1915087743,女,1
473762856,男,1
451778557,保密,1
198270933,女,1
503062756,女,1
94893027,女,0
353045522,男,1
531645615,女,0
110174023,保密,0
22292172,男,1
104229677,男,1
358019551,保密,1
14325867,保密,0
222146976,男,1
1447257274,保密,1
411516808,女,0
19813150,男,1
695018629,保密,0
348659494,男,0
525872898,男,0
222845545,保密,0
172830134,女,0
495264041,女,0
349863299,保密,1
496090074,保密,1
1903489094,保密,0
430431177,男,0
12355462,男,0
21467249,保密,1
512326219,女,0
297995503,保密,1
258849391,男,0
1154667181,保密,1
27669045,保密,1
504516790,保密,1
667636327,男,0
11645695,男,1
59499105,女,1
476949091,保密,0
11896595,保密,1
397444073,保密,0
398591507,保密,0
1409451373,男,0
669928467,保密,0
324940743,保密,1
349919637,保密,0
672879445,保密,0
354522666,保密,1
284148772,保密,1
631537495,女,0
272797581,女,0
64667613,男,0
646637175,保密,0
401082212,男,1
1946174659,保密,1
503604644,男,0
38760612,男,0
514323400,保密,0
43656353,女,1
1698626067,男,1
291878434,保密,1
539499625,男,0
526817045,保密,0
20631494,保密,0
441405625,保密,0
551155046,保密,0
1778167527,保密,0
23013747,男,0
515608939,男,0
88879833,男,0
1288755720,保密,0
3151803,男,1
99448482,男,1
589142591,男,0
14870744,保密,1
1966183679,保密,0
17785824,保密,0
510315085,男,0
669656049,保密,0
407791055,女,0
225342864,保密,0
384673585,男,1
667636327,男,0
431269725,女,1
702131115,女,0
701598159,男,0
457721527,男,0
649898118,保密,0
1901391132,保密,0
526826810,男,0
9321572,保密,1
249648129,保密,0
652285430,保密,0
497722343,男,0
433864225,女,0
31887721,保密,1
408231157,女,0
1992514,男,1
362551158,男,0
259905482,男,0
456135744,保密,0
170201674,女,1
349540397,女,0
376258422,男,0
288737778,男,0
342158352,男,1
273910340,保密,0
440849401,男,0
385026206,保密,0
213950763,保密,1
454941603,男,0
513302182,男,0
344595541,男,1
2903497,男,1
1352045029,保密,1
381963868,保密,0
452242650,保密,0
7136176,保密,1
473762856,男,1
403354902,男,0
88184822,男,0
493628391,保密,0
299709061,保密,0
1393503028,保密,0
367471253,保密,0
616593125,女,0
66997235,保密,1
302628671,男,0
475063746,保密,1
362818052,保密,1
38502085,保密,1
622004485,保密,1
442222364,保密,0
1633591849,女,1
393124894,保密,1
1160276368,保密,0
411082344,保密,1
54774255,男,1
350997808,男,0
32739908,女,1
524255741,男,1
695611784,保密,0
22442752,保密,1
2031712963,男,0
630657742,保密,1
16869521,男,1
1521839966,保密,0
151436542,女,1
19775344,男,0
497135105,保密,0
454966349,男,0
432107008,男,1
84212473,男,1
385110391,女,0
330916705,女,1
35583185,女,0
350337315,保密,0
89327689,保密,0
385749832,保密,1
484810121,女,0
262123369,男,1
388142369,女,0
43308237,保密,0
386495987,男,1
473251404,女,0
629050083,保密,1
697704901,保密,1
426280027,女,1
296420210,保密,0
387241840,保密,1
142708418,保密,0
86511609,男,1
1946174659,保密,1
233491761,保密,1
647224952,保密,1
404731659,男,0
402422136,男,0
1609822803,保密,1
65095863,保密,1
317011541,男,1
287449626,保密,0
230139814,女,0
19337748,男,1
481168610,男,0
1961677647,男,0
11702987,女,1
2087270054,保密,0
361844603,保密,1
89833254,男,1
394927941,保密,1
348678449,保密,0
19332254,保密,1
470209213,女,1
312717128,男,0
381951844,保密,0
172264852,男,1
506176831,男,1
1122604724,保密,0
2136603047,保密,0
413371049,保密,1
319652719,保密,0
430500935,保密,1
402922392,女,0
500667523,女,0
319204476,保密,0
319204476,保密,0
69933538,女,1
450251195,男,1
634121867,保密,0
92602372,男,0
513777225,保密,1
483561070,保密,0
323436349,男,1
402103023,女,0
434255939,保密,0
516609810,女,0
446798,保密,1
595235494,保密,1
495931455,女,1
522558614,保密,1
1516706913,保密,0
30418770,女,1
441756538,保密,0
381553735,保密,1
29545314,男,0
351325898,保密,1
501002369,保密,1
513313973,保密,0
285865516,保密,1
412622350,保密,1
435406506,男,0
35407715,男,1
489691942,女,0
106878046,保密,0
87070223,保密,1
394072212,保密,0
543408607,女,0
506267353,男,0
24996542,保密,1
6490426,保密,1
652330861,男,1
12883638,保密,1
578176876,保密,0
305661834,女,0
211431928,保密,0
189196458,保密,1
327878282,女,1
277403833,保密,1
402352153,女,0
100378895,女,0
86435278,男,1
94724008,保密,0
451088523,保密,0
543765123,保密,0
351964908,男,1
699943014,女,0
39622996,男,1
399409704,保密,0
40217242,保密,0
521593609,保密,0
279233369,保密,1
26395625,男,1
348606142,男,0
1929538969,保密,0
344491150,男,0
388168588,保密,0
844093,男,1
29405113,保密,1
35373949,男,1
277655139,保密,0
47738894,男,1
588544639,保密,0
111184544,女,1
19297329,保密,0
435062403,保密,0
36011493,男,1
20604857,男,1
83805505,女,0
147028228,女,1
441938301,保密,0
475244413,保密,0
472426558,女,0
397165688,男,0
20209568,女,1
106377250,保密,1
106377250,保密,1
515066139,女,1
59900199,保密,1
356394977,女,0
66040426,保密,1
50178521,男,1
77506293,男,1
674090433,保密,0
21221588,男,1
396832028,保密,1
39104119,保密,1
363273231,保密,0
44894541,男,1
480033798,男,0
33241884,保密,1
334601078,保密,1
21434060,男,0
702080952,男,0
442534164,女,0
86226118,女,1
499150539,保密,1
498260892,女,1
9212164,保密,0
389982093,保密,0
346630655,女,0
497456739,保密,0
478177233,男,1
487165681,女,0
315611920,男,1
106798838,保密,1
482218447,保密,0
353553928,保密,0
300617440,男,1
18885175,保密,1
402383252,保密,1
9161339,男,0
411351037,男,1
572412643,男,0
335991635,男,0
9965854,女,1
9965854,女,1
24452163,保密,1
22802610,保密,0
424425417,保密,0
51140934,女,0
470722072,女,0
661407167,女,0
2098806525,男,0
11637020,女,0
2162799,男,1
8579282,保密,1
1605808344,保密,0
65577529,保密,0
94889760,女,1
215291215,男,0
34479455,保密,1
351087793,保密,1
375483341,保密,0
301102841,男,0
85302582,女,1
12927408,男,1
316303988,女,1
14340298,男,1
76480578,保密,1
508171131,男,0
175144189,女,1
66953629,保密,1
1005741853,男,0
400691046,保密,1
183483992,男,1
478896413,保密,0
1846238085,保密,0
272293804,男,0
88790703,男,0
449349207,男,1
73839772,男,0
100587395,保密,1
494978642,女,0
98611957,男,0
383313800,保密,0
519281663,男,1
480053369,男,1
1124805173,保密,0
662721148,男,0
165537599,女,0
323667356,保密,0
41891683,男,1
97204472,保密,1
35189042,女,0
43189526,保密,1
190823923,男,0
7302383,保密,1
107010011,保密,0
1668516149,保密,1
1367908350,男,0
503889674,男,1
336778007,男,0
1724133847,保密,0
174550958,保密,1
5274112,男,0
470817637,女,0
5274112,男,0
494518862,保密,1
650568881,保密,0
4412290,保密,1
471996055,男,0
442517746,保密,0
179691849,保密,0
349537402,保密,1
519872945,男,1
282513053,保密,0
489160706,男,0
553951,男,1
1320081465,保密,1
496716139,男,0
1559587766,保密,0
363919979,保密,1
102530783,男,1
395356846,保密,1
87386899,男,0
539070626,保密,0
508718469,保密,1
1862161212,男,0
178806567,保密,1
1627806789,男,1
56846749,保密,0
1238318872,男,1
23150534,保密,0
279398259,保密,0
473133156,男,0
399788344,保密,1
399864873,保密,1
387419553,男,0
31782686,女,1
400977690,保密,0
543847151,男,0
627831407,女,0
13006413,男,1
2703475,男,0
375356826,男,0
34027631,保密,1
473678343,保密,1
50928696,女,0
1985175402,保密,0
94049493,男,1
396396437,保密,0
470817637,女,0
22872728,男,1
353003869,男,1
24341332,男,0
283371599,保密,0
283790822,男,1
323684006,女,1
288601718,保密,0
436354385,男,1
1628109058,保密,0
596958602,保密,0
604215730,保密,0
22135138,保密,1
400154694,女,1
148272647,男,1
590843312,保密,0
38036854,男,1
12815076,保密,0
6292758,保密,1
515822516,男,0
4297963,保密,1
2146796746,保密,0
5375229,男,1
7071237,保密,0
353395748,女,0
372254078,男,1
11615545,男,0
80010051,男,0
254121643,保密,1
492656421,男,0
44983617,男,1
33998553,男,0
89854573,保密,1
1698626067,男,1
544120546,保密,0
1930574498,男,0
44509245,保密,1
495373735,保密,0
1498859287,女,0
2102499761,保密,0
291421865,保密,0
472501,保密,1
1238664542,男,1
1846900254,男,0
411236199,男,0
514496686,保密,0
275535199,保密,1
628803331,保密,1
1848548253,保密,0
252965297,女,1
8283381,女,1
176912387,保密,1
760882,保密,1
350184592,保密,0
326236477,男,1
13540513,男,0
76742337,女,1
453437782,男,1
244881716,保密,0
523349717,保密,0
14231776,保密,0
182496587,女,1
545958154,女,0
1201364652,女,0
637454258,保密,0
178523963,保密,1
17470164,保密,1
398622452,男,0
357102003,男,1
172844766,女,0
1480381,女,1
295224416,男,1
1174178153,保密,0
5276262,男,1
354896189,男,0
396417590,女,0
635951597,保密,0
280083751,男,0
1426732275,女,0
471109482,保密,0
173853322,男,1
473762856,男,1
474009067,男,0
280624824,男,1
43713692,男,1
403418036,男,0
22524668,男,1
576526423,女,0
349475192,女,0
65184108,男,1
496701456,女,0
27613365,保密,1
274589205,男,1
499502595,女,0
699643053,保密,0
85321152,保密,0
358068639,保密,1
99450457,保密,1
472796206,男,1
1595857265,保密,1
649786079,男,0
412622350,保密,1
416276850,保密,0
35035243,男,1
1669999125,男,0
22520398,女,1
355630454,女,0
701675974,男,0
490902941,保密,0
490737296,男,0
1060899445,男,0
350815755,保密,0
398591507,保密,0
26162220,保密,1
271231770,女,0
650926904,男,0
35604939,女,0
160898966,女,1
58981013,保密,1
476314238,男,0
1406231630,保密,0
11098550,男,1
1780988307,保密,0
441479287,男,0
501744230,男,1
1730932883,女,0
424122415,男,1
390279380,女,0
696799608,保密,1
170201674,女,1
3438202,保密,1
1862599087,保密,0
282994212,男,0
348858218,男,1
414688203,保密,1
43742076,保密,1
646194203,女,0
2049572681,保密,1
22760721,女,0
383848330,男,1
341135453,保密,0
22520398,女,1
485834338,男,1
473762856,男,1
1935137074,保密,0
448019802,女,0
436578806,男,1
448756382,女,0
1018311752,女,0
183790112,保密,1
280624824,男,1
40153761,保密,1
34372367,男,1
521253515,男,0
34883705,男,1
171513634,男,1
30820724,保密,0
439959796,保密,1
413371049,保密,1
259395756,保密,1
441978386,男,0
49394099,男,1
1141278332,保密,1
25901694,男,1
170117083,保密,0
1580533604,保密,0
88693590,保密,1
3116683,男,1
1086486303,女,0
693240750,女,0
441109572,女,0
338340909,男,1
179317182,男,0
178114169,保密,1
503878890,保密,0
335438717,男,1
441444899,保密,1
11521962,男,1
1559126,男,1
91455877,保密,1
438670420,保密,1
2186579,保密,1
30445765,保密,1
412933817,保密,0
3589312,男,0
394963299,男,0
668299159,男,1
294070042,保密,0
381271234,男,0
504704187,男,0
2025202400,女,0
356626628,男,0
2185997,男,1
1379591283,保密,0
314834,男,1
149278990,女,0
1053198975,保密,0
19838508,保密,0
383726122,保密,1
226304764,保密,1
291572831,保密,1
689812015,保密,1
259874966,保密,0
28577116,女,1
631041617,男,1
285832397,男,1
32353102,男,1
2014786290,男,0
474235070,保密,1
28122934,男,1
2136603047,保密,0
405260067,男,0
306213450,男,0
514984747,保密,0
306213450,男,0
514984747,保密,0
627167929,女,1
457631198,保密,1
407286230,保密,0
1651642458,保密,0
33104479,保密,1
378986834,女,0
1559968870,男,1
67910508,保密,1
159055660,保密,1
487327385,女,1
31350915,女,1
36739632,保密,0
508682603,女,0
547945313,男,1
37625327,保密,0
501351320,保密,0
165862374,保密,1
498567910,保密,1
1271552562,保密,0
35035243,男,1
277655139,保密,0
20180508,男,1
1316391940,男,0
520549820,保密,0
385988643,男,0
354739124,保密,0
13439382,男,1
