数据分析师,鄂尔多斯市巴音孟克纳源煤炭有限责任公司,采掘/冶炼/矿产,5-6k,66000.0,鄂尔多斯,大专及以上,经验不限
Data Engineer,普华永道中天会计师事务所(特殊普通合伙),专业服务,20-50k·13薪,455000.0,上海-黄浦区,本科及以上,5-10年
人工智能/機器學習 - 數據標註師 (廣東話),Apple,计算机/网络设备,面议,-1,上海,本科及以上,一年以下
數據標註師 -人工智能/機器學習 (廣東話),Apple,计算机/网络设备,面议,-1,广州-徐家汇,学历不限,经验不限
数据运维分析师,科适(上海)信息技术有限公司,数据服务商,面议,-1,上海,本科及以上,1-3年
数据分析岗,平安普惠融资担保有限公司南京分公司,互联网金融,7-9k,96000.0,南京,统招本科,1-3年
数据合规工程师 - CDO Cloud & Data - 上海,普华永道中天会计师事务所(特殊普通合伙),专业服务,面议,-1,上海-浦东新区,本科及以上,3-5年
数据分析/数据统计（生物相关）,陶术生物,制药/生物工程,8-15k·13薪,149500.0,上海,统招本科,1-3年
数据分析统计,溉沃医药,医药销售,4-6k,60000.0,西安-金花路,本科及以上,1-3年
Data Analysis数据分析,德咨技术管理咨询(上海)有限公司,专业服务,15-25k·15薪,300000.0,北京-团结湖,本科及以上,3-5年
"数据分析咨询顾问/高级咨询顾问 Data Analysis Consultant, Senior Consultant",德勤,专业服务,15-30k,270000.0,成都-武侯区,本科及以上,3-5年
Senior Advisor of Data Analysis （商业数据分析师）,DELL,计算机软件,25-40k,390000.0,北京-朝外,本科及以上,5-10年
数据专员/数据分析统计,义乌市犇腾家政服务有限公司,餐饮/酒旅/服务,5-6k,66000.0,金华-义乌,大专及以上,经验不限
车联网数据分析专员 Senior Connectivity Data analysis Analyst,福特汽车中国,其他,面议,-1,上海,本科及以上,5-10年
Data Analysis Director 数据分析总监,dunnhumby 邓韩贝,其他行业,面议,-1,上海-中山公园,硕士及以上,10年以上
Data Analysis Director 数据分析总监,dunnhumby 邓韩贝,其他行业,面议,-1,深圳-东门,本科及以上,10年以上
数据分析统计经理,WONDERS,已上市,15-30k,270000.0,上海,硕士及以上,3-5年
Reliability Data Analysis engineer/可靠性数据分析工程师_PT,博世电动工具(中国)有限公司,机械/机电/重工,面议,-1,杭州-江南,本科及以上,3-5年
"数据分析咨询顾问/高级咨询顾问 Data Analysis Consultant, Senior Consultant",四川有瑞科技有限公司,计算机软件,15-30k,270000.0,成都,本科及以上,3-5年
EC Data analysist 电商数据分析,阳狮集团,广告/市场/会展,10-15k,150000.0,上海,本科及以上,1-3年
行政&市场数据分析主管Admin&Data Analysis-00358,中欧国际工商学院,教育培训,14-18k,192000.0,上海,本科及以上,经验不限
500强 数据分析 DA /data analysis,中电金信,其他,13-22k,210000.0,广州-海珠区,本科及以上,3-5年
数据统计/数据分析,布逸昊服装,服装纺织,4-6k,60000.0,北京-安定门,大专及以上,经验不限
Supply Chain Data Analysis 供应链数据分析,空气化工,其他,10-13k·13薪,149500.0,上海-浦东新区,统招本科,一年以下
数据分析统计员,上海君实生物医药科技股份有限公司,科创板上市,10-15k,150000.0,上海-浦东新区,本科及以上,1-3年
数据分析/统计高级管理岗,医疗人工智能独角兽企业,大数据,40-70k,660000.0,北京,硕士及以上,10年以上
BK434G-统计数据分析及建模岗,平安银行股份有限公司,沪深A股上市,面议,-1,深圳,学历不限,3-5年
数据分析/统计专员(J10136),好想你健康食品股份有限公司,中小板上市,4-6k,60000.0,郑州-新郑,大专及以上,经验不限
统计数据分析工程师,长鑫存储技术有限公司,电子/芯片/半导体,面议,-1,合肥,硕士及以上,经验不限
统计分析/数据分析,轩天,房地产服务,6-8k,84000.0,上海-长征,大专及以上,经验不限
统计员/数据分析,新乡北方车辆仪表有限公司,仪器/电气/自动化,5-8k,78000.0,新乡,统招本科,经验不限
统计总监-临床数据分析总监,AI+医疗上市公司,AI行业应用,70-100k,1020000.0,北京,统招本科,10年以上
统计专员/数据分析专员,福州咸鱼科技有限公司,融资未公开,6-8k,84000.0,福州-金山,大专及以上,1-3年
医学统计/临床数据分析,金赛药业,制药/生物工程,15-20k,210000.0,上海-徐汇区,本科及以上,1-3年
数据分析工程师（限流行病统计专业）,金豆医疗数据,B轮,8-10k,108000.0,武汉-洪山区,大专及以上,1-3年
防损主管(数据分析方向),北京国际度假区有限公司主题公园和度假区管理分公司,文体娱乐,面议,-1,北京,本科及以上,3-5年
政府数据统计专员,陕西凯锐信息技术有限公司,融资未公开,3-5k,48000.0,西安,大专及以上,经验不限
数据分析（销售）,益而益集团,电子/芯片/半导体,6-10k,96000.0,苏州-工业园区,本科及以上,3-5年
商业数据分析师,上海万科产城发展有限公司,房地产/建筑,15-20k·16薪,280000.0,上海-闵行区,统招本科,3-5年
数据分析专家,雨润集团,房地产/建筑,25-45k,420000.0,南京,统招本科,5-10年
数据分析助理,韦博网讯科技(北京)有限公司,专业服务,10-15k·13薪,162500.0,北京,本科及以上,1-3年
数据分析,某头部互联网公司,互联网/电商,30-60k·15薪,675000.0,北京,统招本科,经验不限
数据分析,广东****股份有限公司,制药/生物工程,13-18k·13薪,201500.0,广州,大专及以上,5-10年
战略发展总监（商业分析总监、业务分析总监、数据分析总监）,某知名互联网大厂,互联网+,50-80k·15薪,975000.0,北京,统招本科,10年以上
数据分析主管,山东东道企业管理咨询有限责任公司,融资未公开,8-10k,108000.0,济南-历城区,学历不限,3-5年
数据统计员,新疆金茂丝路乐园股份有限公司,融资未公开,4-6k,60000.0,乌鲁木齐-头屯河区,本科及以上,3-5年
数据分析(J10253),花物堂,批发零售,6-8k·14薪,98000.0,济南-槐荫区,本科及以上,3-5年
数据分析工程岗,中国联通广东省分公司,通信业,15-25k·13薪,260000.0,广州,统招本科,3-5年
41309-王者荣耀北美区域数据分析,腾讯,已上市,面议,-1,深圳,本科及以上,1-3年
数据分析经理（营销数据）,交通银行信用卡中心,银行,20-25k,270000.0,上海,统招本科,5-10年
数据分析工程师,畅捷通信息技术股份有限公司,已上市,18-35k,318000.0,北京-海淀区,本科及以上,3-5年
商业数据分析（电商O2O）,广州中康资讯股份有限公司,互联网/电商,9-14k·13薪,149500.0,广州-天河区,本科及以上,1-3年
自动驾驶商业运营部_数据分析：车效,Baidu,美股上市,16-40k,336000.0,北京,统招本科,3-5年
数据分析实习生(JM8F2),杭州终维食品科技有限公司,A轮,3-4k,42000.0,杭州-西湖区,学历不限,经验不限
数据分析高级专员(J17561),蒙牛,快消品,7-10k,102000.0,北京-通州区,本科及以上,1-3年
量化研究与数据分析岗,霖海投资管理(上海)有限公司,基金,15-30k·13薪,292500.0,上海-陆家嘴,本科及以上,经验不限
数据分析实习生（战略客户方向）,中金,已上市,2-3k,30000.0,北京-建外大街,学历不限,经验不限
数据分析经理,好孩子集团,融资未公开,15-25k,240000.0,上海-徐泾,统招本科,5-10年
数据统计经理,北京知名生物制品公司,生物工程,30-40k·13薪,455000.0,北京-海淀区,统招本科,5-10年
A/B testing 用户数据分析产品经理,微软,其他,30-60k,540000.0,北京-中关村,大专及以上,经验不限
临床数据分析,康奥科技集团有限公司,制药/生物工程,5-8k,78000.0,天津,本科及以上,1-3年
数据统计分析岗,广州捷星房地产开发有限公司,房地产/建筑,8-10k,108000.0,广州,统招本科,1-3年
生产运营数据分析高级专员,强生(中国)投资有限公司,医疗/保健/美容,面议,-1,西安-鄠邑区,本科及以上,5-10年
数据分析经理,成都鹿岛品牌管理有限公司,批发零售,15-20k·13薪,227500.0,成都-桂溪,本科及以上,5-10年
业务数据分析经理,交通银行信用卡中心,银行,20-25k,270000.0,上海,硕士及以上,5-10年
高级数据分析经理,立足于建筑行业的数字化互联网企业,计算机软件,30-50k,480000.0,北京-海淀区,统招本科,经验不限
数据分析,某知名互联网公司,互联网/电商,15-25k·15薪,300000.0,西安,统招本科,3-5年
Production Data Analysis,金佰利(中国)有限公司,快消品,10-14k,144000.0,北京-大兴区,统招本科,经验不限
数据分析主管,网易集团,已上市,10-20k·13薪,195000.0,广州,本科及以上,经验不限
数据分析经理,大型美资日化生产销售企业,快消品,25-35k·13薪,390000.0,广州,统招本科,5-10年
商业数据分析,全量全速,天使轮,18-28k·13薪,299000.0,上海-黄浦区,本科及以上,3-5年
数据分析工程师（软件工程/计算机/大数据）,BYD,已上市,18-35k,318000.0,深圳,统招本科,3-5年
数据分析专员,上海恕康,IT服务,6-10k,96000.0,上海-黄浦区,本科及以上,一年以下
业务数据分析,美团,港股上市,20-25k·15薪,337500.0,北京-朝阳区,本科及以上,3-5年
数据分析主管,UR 快尚时装有限公司,服装纺织,8-11k,114000.0,广州,大专及以上,3-5年
数据分析岗（贷后方向）,北银消费金融公司门户网站,基金/证券/投资,面议,-1,北京-科技园区,本科及以上,3-5年
运营数据分析专员,华住酒店集团,已上市,6-8k,84000.0,上海-漕河泾,本科及以上,1-3年
【大数据】数据分析副总监，深圳,著名大型金融科技公司,互联网/电商,30-50k·18薪,720000.0,深圳,统招本科,5-10年
【大数据】数据分析副总监，上海,著名大型金融科技公司,互联网/电商,30-50k·18薪,720000.0,上海,统招本科,5-10年
bi数据分析,某互联网公司,互联网/电商,20-30k,300000.0,上海-黄浦区,本科及以上,3-5年
高级数据分析,上海知名广告技术公司,互联网/电商,18-30k,288000.0,上海,本科及以上,经验不限
数据分析专家,咪咕文化,其他,20-30k,300000.0,北京-西城区,本科及以上,5-10年
数据分析,滴滴,其他,15-25k·15薪,300000.0,北京-西北旺,统招本科,5-10年
大数据分析工程师,深圳市晨北科技有限公司,智能家居,20-40k·15薪,450000.0,深圳-西丽,本科及以上,3-5年
数据分析专家ELM武汉,某知名公司-综合,互联网/电商,30-60k·16薪,720000.0,武汉,统招本科,经验不限
Data Solution Specialist 数据分析专家,autoliv,汽车/摩托车,面议,-1,上海-嘉定区,本科及以上,5-10年
数据分析储备人才,佛山欧神诺陶瓷有限公司,建材,4-7k,66000.0,佛山-禅城区,本科及以上,1-3年
数据分析专家,三只松鼠,创业板上市,15-21k·15薪,270000.0,芜湖,本科及以上,3-5年
云智能-数据分析专家/高级专家,互联网大厂,互联网/电商,60-90k·13薪,975000.0,北京,统招本科,5-10年
数据分析专家,字节,互联网/电商,40-60k·15薪,750000.0,北京-海淀区,统招本科,5-10年
数据分析岗,万家基金,基金,面议,-1,上海,本科及以上,1-3年
数据分析主管/专员,深圳茂业商厦有限公司,批发零售,5-8k,78000.0,深圳-罗湖区,大专及以上,经验不限
数据分析工程师,中国联通广东省分公司,通信业,15-20k·13薪,227500.0,广州,统招本科,1-3年
数据分析工程师,山东科伦药业有限公司,制药/生物工程,4-5k,54000.0,滨州,本科及以上,1-3年
数据分析主管,环洋经典文化发展(上海)有限公司,建材,6-8k,84000.0,上海,大专及以上,3-5年
市场营销专员-数据统计分析,某外资薄膜公司,印刷/包装/造纸,6-10k,96000.0,苏州,统招本科,经验不限
高级物流主管（网络数据分析）,百世集团,互联网/电商,7-10k,102000.0,重庆-渝北区,大专及以上,经验不限
海外市场推广及市场营销数据统计及分析,BYD,已上市,15-20k,210000.0,深圳-坪山区,本科及以上,3-5年
123456高级部门运营岗（数据分析）,大疆创新,通信业,20-30k·15薪,375000.0,深圳-南山区,本科及以上,3-5年
数据分析专家,迪阿股份有限公司,奢侈品/收藏品,15-30k,270000.0,深圳,统招本科,5-10年
数据分析,某知名寿险股份有限公司,保险,25-35k,360000.0,北京,统招本科,3-5年
数据分析主管,浦发信用卡中心,银行,面议,-1,上海,统招本科,5-10年
数据分析专员（客服部）,同程数科,其他,6-10k·14薪,112000.0,苏州-工业园区,大专及以上,1-3年
数据分析经理,供应链电商平台,电商供应链,20-35k·14薪,385000.0,广州-荔湾区,大专及以上,3-5年
数据分析工程师,知名合资汽车公司,整车制造,16-20k,216000.0,北京,统招本科,5-10年
数据分析经理,广州未来一手网络科技有限公司,互联网/电商,20-35k·14薪,385000.0,广州,本科及以上,5-10年
数据分析,东方财富,沪深A股上市,15-30k·16薪,360000.0,上海-徐汇区,统招本科,3-5年
数据分析主管,漯河猛马商业连锁管理有限公司,酒水,6-8k,84000.0,漯河,大专及以上,3-5年
属地支持（数据分析岗）,广发信用卡中心,银行,8-15k,138000.0,佛山,统招本科,经验不限
图数据算法专家（数据分析及治理方向）,交通银行信用卡中心,银行,40-70k,660000.0,上海-浦东新区,统招本科,10年以上
供应链数据分析 (MJ000055),森马电商,互联网/电商,7-12k,114000.0,嘉兴-平湖,大专及以上,1-3年
数据分析岗（属地支持）,广发信用卡中心,银行,8-15k,138000.0,佛山-珠江新城,统招本科,经验不限
大数据分析师,国内一级整车厂,汽车研发,20-30k·16薪,400000.0,上海-嘉定区,统招本科,经验不限
数据分析负责人,梦饷集团,C轮,40-60k·14薪,700000.0,上海,统招本科,5-10年
数据分析总监,某知名特卖电商平台,电子商务,50-75k·16薪,1000000.0,广州,统招本科,5-10年
AI数据分析科学家-机器学习,西门子,仪器/电气/自动化,面议,-1,北京,本科及以上,经验不限
商业数据分析师（北京）,新浪微博,美股上市,10-16k·14薪,182000.0,北京-燕莎,本科及以上,1-3年
催收数据分析-高级专员,宝马汽车金融(中国)有限公司,汽车/摩托车,面议,-1,北京-燕莎,统招本科,1-3年
数据分析副总监,某知名互联网金融企业,互联网金融,35-45k·16薪,640000.0,上海-徐汇区,统招本科,经验不限
数据分析,上海某游戏公司,游戏产业,20-40k·14薪,420000.0,上海,统招本科,3-5年
数据分析,上海某游戏公司,游戏产业,20-40k·14薪,420000.0,上海,统招本科,3-5年
数据分析工程师,厦门厦顺铝箔有限公司,融资未公开,8-10k·13薪,117000.0,厦门-海沧区,统招本科,3-5年
数据分析,中诚信国际,基金/证券/投资,8-15k,138000.0,武汉-武昌区,本科及以上,1-3年
资深数据分析专家,日本快消品牌,服装纺织,60-80k·15薪,1050000.0,上海-徐汇区,统招本科,10年以上
数据分析专员,爱普生,电子/芯片/半导体,10-15k,150000.0,北京-红庙,本科及以上,1-3年
数据分析技术员,惠州光弘科技股份有限公司,沪深A股上市,6-8k,84000.0,惠州,学历不限,1-3年
数据分析,广发信用卡中心,银行,15-35k,300000.0,广州,统招本科,3-5年
数据分析经理,盛业资本,其他,20-30k·14薪,350000.0,深圳-福田区,本科及以上,5-10年
数据专员（数据分析方向）,迈瑞医疗,已上市,10-30k·15薪,300000.0,深圳-科技园,统招本科,经验不限
数据分析专员,上海锦马企业发展有限公司,融资未公开,6-10k,96000.0,上海,本科及以上,5-10年
销售运营中台（数据分析）,易买工品,B轮,25-35k,360000.0,上海-七宝,大专及以上,5-10年
数据分析专家,易买工品,B轮,20-30k,300000.0,上海-闵行区,本科及以上,3-5年
数据分析与挖掘,全球化加密金融智能服务独角兽,基金/证券/投资,40-70k·18薪,990000.0,深圳-南山区,统招本科,5-10年
销售数据分析,拟合未来,B轮,10-16k·14薪,182000.0,上海-徐泾,大专及以上,3-5年
高级数据分析经理（HR领域）,高途,美股上市,面议,-1,北京-西北旺,统招本科,5-10年
数据分析岗,某银行,银行,11-16k·13薪,175500.0,深圳,本科及以上,1-3年
2631YN-数据分析岗,平安国际融资租赁有限公司,基金/证券/投资,面议,-1,上海,学历不限,3-5年
数据分析副总监,某支付行业知名公司,支付,35-50k,510000.0,上海-徐汇区,本科及以上,5-10年
数据分析总监,迅雷,互联网/电商,50-80k·15薪,975000.0,深圳-南山区,统招本科,5-10年
数据分析岗,国内知名金融企业,保险,15-25k·15薪,300000.0,上海,统招本科,1-3年
数据分析,东方财富,沪深A股上市,15-30k·16薪,360000.0,上海-徐汇区,统招本科,3-5年
数据分析专员（跨境电商）,东方丝路(深圳)科技有限公司,融资未公开,10-15k,150000.0,深圳,统招本科,1-3年
数据挖掘/数据分析,某银行,银行,25-40k·13薪,422500.0,深圳,统招本科,1-3年
数据分析岗,世界五百强,银行,12-16k·16薪,224000.0,上海-浦东新区,统招本科,3-5年
数据分析岗,深圳某互联网金融科技公司,互联网+,25-35k·14薪,420000.0,深圳,本科及以上,3-5年
数据分析总监,某知名一线互联网公司,互联网/电商,50-80k·16薪,1040000.0,北京,统招本科,5-10年
数据分析经理,东呈集团,餐饮/酒旅/服务,10-15k·15薪,187500.0,广州,统招本科,1-3年
数据分析工程师,合资公司,汽车/摩托车,15-20k,210000.0,北京,本科及以上,5-10年
数据分析,某大型互联网平台,互联网招聘,30-60k·15薪,675000.0,杭州,统招本科,3-5年
人力数据分析专家,轩天,房地产服务,15-20k,210000.0,上海-长征,统招本科,1-3年
数字化解决方案&数据分析高级专员,博西家电,家具/家电,8-15k,138000.0,南京-建邺区,本科及以上,3-5年
数据分析总监 (MJ000048),中信百信银行股份有限公司,银行,40-70k·14薪,770000.0,北京,本科及以上,经验不限
数据分析专员,GPX,专业服务,7-8k,90000.0,上海,大专及以上,一年以下
数据分析工程师,武汉敏声新技术有限公司,B轮,15-30k,270000.0,苏州-工业园区,本科及以上,1-3年
数据分析工程师,武汉敏声新技术有限公司,B轮,15-30k,270000.0,武汉-洪山区,本科及以上,1-3年
人事行政专员（偏数据分析）,中原地产代理(深圳)有限公司,房地产服务,6-9k,90000.0,深圳-福田区,本科及以上,经验不限
数据分析专员,周生生,珠宝/玩具/工艺品,面议,-1,西安,大专及以上,经验不限
数据分析主管,河北天创管业有限公司,原材料加工,6-8k,84000.0,邯郸,大专及以上,5-10年
算法与数据分析专家,某知名互联网公司,互联网/电商,30-60k·14薪,630000.0,深圳-南山区,硕士及以上,1-3年
数据分析,某互联网保险公司,互联网+,18-35k·14薪,371000.0,深圳-南山区,统招本科,3-5年
数据分析,嘉驰国际,人力资源,7-8k·13薪,97500.0,深圳-福田区,学历不限,1-3年
财务数据分析经理（有四大审计，或酒店航空业背景优先，英语流利）,某跨国酒店管理集团,餐饮/酒旅/服务,23-26k·13薪,318500.0,上海,统招本科,3-5年
数据分析,某世界500强金融科技企业,互联网金融,25-50k·16薪,600000.0,上海,统招本科,经验不限
数据分析岗,某大型科技医疗平台,医疗服务,20-24k·16薪,352000.0,上海,统招本科,经验不限
电商数据分析,知名运动潮牌,服装纺织,15-20k·14薪,245000.0,上海,学历不限,1-3年
运营平台数据分析主管/经理,泉州某品牌电商投资有限公司,服装纺织,10-15k,150000.0,泉州-石狮,大专及以上,3-5年
数据分析助理,陆金申华,基金/证券/投资,6-8k·15薪,105000.0,上海,本科及以上,经验不限
大数据分析师,中国联通广东省分公司,通信业,15-25k·13薪,260000.0,广州,统招本科,1-3年
总行公司业务管理部——数据分析岗,厦门银行股份有限公司,沪深A股上市,12-24k,216000.0,厦门-思明区,统招本科,3-5年
0242UG-高净值客户数据分析岗,中国平安人寿保险股份有限公司,保险,面议,-1,上海,学历不限,1-3年
数据分析主管,广州奶糖派服装有限公司,服装纺织,15-25k,240000.0,广州,本科及以上,3-5年
数据分析,山东信义通铝业科技有限公司,批发零售,6-10k,96000.0,济南-历下区,本科及以上,1-3年
数据分析专家,某知名公司,互联网/电商,20-30k,300000.0,武汉-蔡甸区,统招本科,5-10年
大数据分析师,国内知名上市公司,电力,15-25k·15薪,300000.0,广州-越秀区,学历不限,3-5年
中高级开发人员（数据分析）(J10152),北京三维天地科技股份有限公司,计算机软件,11-20k,186000.0,武汉-关山,统招本科,3-5年
微观数据分析专家,良品铺子,批发零售,30-50k·14薪,560000.0,武汉-东西湖区,统招本科,5-10年
数据分析建模师,华坤道威,融资未公开,18-36k·14薪,378000.0,杭州,本科及以上,3-5年
数据分析建模,泰康在线财产保险股份有限公司,互联网/电商,15-30k·14薪,315000.0,北京-回龙观,统招本科,5-10年
数据分析专家,某大型食品股份有限公司,食品饮料,13-25k·14薪,266000.0,武汉-东西湖区,学历不限,3-5年
数据分析,山东开创云计算有限公司,A轮,6-11k,102000.0,济南,本科及以上,1-3年
财务数据分析助理,PWU朴物大美,A轮,4-6k·13薪,65000.0,广州,大专及以上,1-3年
数据分析主管(J10041),上海百秋,其他,6-8k,84000.0,上海,大专及以上,1-3年
数据分析岗,合众财产保险,保险,面议,-1,北京,统招本科,经验不限
数据分析高级/主任工程师,北京金风科创风电设备有限公司,新能源,15-25k,240000.0,北京,本科及以上,5-10年
临床数据统计,锐得麦医药,天使轮,20-30k,300000.0,上海-张江,本科及以上,3-5年
临床数据统计,锐得麦医药,天使轮,20-30k,300000.0,北京-红庙,本科及以上,3-5年
临床数据统计,锐得麦医药,天使轮,20-30k,300000.0,北京-红庙,硕士及以上,3-5年
临床数据统计,锐得麦医药,天使轮,20-30k,300000.0,上海-张江,硕士及以上,3-5年
药企数据分析（实习生）,海天医药,制药/生物工程,3-4k,42000.0,上海-龙华,学历不限,经验不限
数据分析专员,卡尔美(中国)有限公司,服装纺织,6-7k·13薪,84500.0,泉州-晋江,大专及以上,1-3年
大数据分析师,银行,银行,15-25k·20薪,400000.0,深圳-南山区,统招本科,3-5年
数据分析专员,伺动常客公共关系咨询(上海)有限公司,广告/市场/会展,7-10k,102000.0,上海-静安区,本科及以上,经验不限
数据分析专员（大数据）,欣和,快消品,5-10k,90000.0,烟台,本科及以上,一年以下
商业数据分析,国茂股份,沪深A股上市,6-12k·13薪,117000.0,常州-武进区,统招本科,1-3年
CRM数据分析,汉堡王,餐饮/酒旅/服务,8-13k·13薪,136500.0,上海,本科及以上,1-3年
数据分析专家（周末双休 入职六险一金）,某知名企业,互联网+,20-30k,300000.0,武汉-蔡甸区,统招本科,5-10年
数据分析专家+六险一金,某知名公司,互联网+,20-30k,300000.0,武汉-蔡甸区,统招本科,5-10年
数据分析专家,国内知名公司,互联网+,20-30k,300000.0,武汉,统招本科,5-10年
