timedate,content
2021-12-21 09:33:00,破11了吧。
2021-12-21 09:34:00,还是那句话，好股你买不到，买到都是坑
2021-12-21 09:34:00,狗玩意的跌停吧
2021-12-21 09:49:00,我买了 金融街 华侨城 保利发展 。我猜对了板块没猜对股票，涨的都是垃圾地产股。
2021-12-21 10:07:00,还以为你会强势呢，没想到还是按套路来，先出绿柱释放压力。
2021-12-21 10:18:00,先撤了吧
2021-12-21 10:23:00,明天会上涨的，收盘应该在11.40以上，拭目以待吧。最有可能是明天先下探10.90然后震荡上行，估计能冲高11.70左右。
2021-12-21 10:24:00,托们，牛逼吹爆了
2021-12-21 10:30:00,这是卖的什么药
2021-12-21 10:57:00,没有主力，只有苦力。
2021-12-21 11:03:00,看着走势，药退回了，补充临床资料
2021-12-21 11:07:00,赶紧去路边摆个碗乞讨点钱，准备过年吧。
2021-12-21 11:19:00,转发
2021-12-21 11:34:00,会下探20日线吗
2021-12-21 11:56:00,【无量下跌是阴-毛啊】
2021-12-21 12:16:00,不信你不调整！二十日线和缺口我在等你，会顶你！
2021-12-21 13:26:00,某人智商有问题，不叫评论。无脑唱多。
2021-12-21 13:27:00,涨一天跌四天，很好操作啊
2021-12-21 13:28:00,狗抗凉凉，别再幻想了。利好等散户上车的那就是大套套。
2021-12-21 13:30:00,金叉来了
2021-12-21 13:41:00,10.56都止不住，还吓唬。坑多人也坏
2021-12-21 13:42:00,黑天鹅的可能性非常大
2021-12-21 13:43:00,还好昨天跑了
2021-12-21 13:53:00,明天跌停
2021-12-21 13:53:00,没有最低，只有更低
2021-12-21 13:54:00,这20日均线有点远啊？赶紧上来吧？
2021-12-21 14:00:00,估计今天涨停没悬念
2021-12-21 14:05:00,这垃圾就是这样
2021-12-21 14:07:00,明天破10
2021-12-21 14:07:00,浪费今天行情
2021-12-21 14:09:00,10.73收盘没悬念
2021-12-21 14:09:00,吓唬谁呢。
2021-12-21 14:11:00,印度都能搞出来，华药要是爆雷的话。那真是个笑话
2021-12-21 14:11:00,妖气环绕，种来个跌停。看看有人秒你没有
2021-12-21 14:31:00,九安医疗 是真他niang的牛叉，一个多月都6倍了
2021-12-21 14:42:00,这庄真不要脸
2021-12-21 15:05:00,9.06的成本。还有比我惨的吗？
2021-12-21 15:12:00,还可以坚持10个点。。。
2021-12-21 15:13:00,庙小妖风大
2021-12-21 15:24:00,你这个
2021-12-21 15:32:00,狗庄砸盘也砸不出啥来，没什么人卖
2021-12-21 15:46:00,3000多只股票涨你跌!你也是人才
2021-12-21 16:16:00,没想到高速没成了华公公的股东，叫挖煤的截胡了。世事难料变化太快啊。
2021-12-21 17:12:00,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月14日融资净买入1209.67万元；融资余额6.54亿元，较前一日增加1.84% 融资方面，当日融资买入2625.24万元，融资偿还1415.57万元，融资净买入1209.67万元，连续3日净买入累计3563.49万元。融券方面，融券卖出4.9万股，融券偿还4.7万股，融券余量37.79万股，融券余额404.39万元。融资融券余额合计6.58亿元。 华北制药融资融券交易明细（12-14） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
2021-12-21 17:19:00,理论上来说，如果不出幺蛾子年底可以收到批件了。刚才特意查了一个其他的生物药，一个星期后离开补充资料队列，进入nmpa审批，再二个星期后可以收到批件，刚刚赶在12.31号之前
2021-12-21 17:20:00,真不错我一共买了两只，加了11个自选，今天我买的两只都跌了，其他的全红，这两只里面就有你一个
2021-12-21 17:31:00,今天跌的有点多呀，大师们要出不？出来发表一下呗
2021-12-21 17:35:00,试问吧里有几个被他坑了。
2021-12-21 17:54:00,诱多，明天低开跌停大概率
2021-12-21 19:08:00,拍大腿去吧。
2021-12-21 20:24:00,没人研究CDE审批政策吗？
2021-12-21 20:42:00,明天下来可以买了，就这样折磨主力，叫你不干人事。
2021-12-21 20:49:00,今天华药大跌是不是和南新制药大涨有什么关系？
2021-12-21 21:11:00,今天大跌是怕狗抗不通过？还是怕审批又要延期？还是其他未知原因？有哪位比较接近公司的大佬来说说
2021-12-21 21:12:00,怎么查药品审批流程啊
2021-12-21 21:20:00,今天我出了，虽然说只有几十手，但是也特么亏我几大千，我看到有人评论，还在问注册审批哪个，我也是服了，真的能够下来，今天也不至于跌这么多，所有和他有关的板块全是红的，这个不横盘也就算了，还特么跌3个点，真的无语，再也不碰这种超级的股票，还有一个今天涨停板160多家阿，大哥，不是我埋怨阿，你那怕微涨一丢丢我也不至于这么大冤气
2021-12-21 21:27:00,关于大家在问的未启动的几项任务，我搜索了半天也不太清楚…所以查了一个二类新药，同是优先审批的，也是有几项内容没启动而审批结束，不晓得一类新药有没有其他限制。（有懂这个的兄弟希望能不吝赐教，略说一二 ）
2021-12-21 21:39:00,【整天的对牛弹琴没意思，年底提前封箱了，都好自为之吧 】
2021-12-21 21:44:00,今年批了那么多创新中药，参乌胶囊怎么批不下来呢。李林教授能量不行啊
2021-12-21 21:50:00,持6年2.235亿股的国家队三倍收益铁打。静待恭告！！！！
2021-12-21 21:53:00,等回踩20均线在看
2021-12-21 21:55:00,犬单抗注射lPO科创板细述！！！！ 华药集团新药公司参展第21届中国生物制品年会 文章来源：发布时间2021-10-25 15:23:39 华药集团新药公司参展第21届中国生物制品年会 10月14日至10月16日，第21届中国生物制品年会在南京国际博览中心隆重举行。大会云集了最具影响力的科研工作者与最具实力的生物医药创新企业， 华北制药 新药公司作为生物医药领域领军企业参加了本次盛会。 本次大会由中国疫苗行业协会、中国药学会生物药品与质量研究专业委员会、中华预防医学会生物制品分会、中华预防医学会疫苗与免疫分会、 中国医药 生物技术协会疫苗专业委员会、中国微生物学会生物制品专业委员会共同主办。来自全国各地疫苗行业的科研人士、业界专家、企业代表齐聚一堂。 会议围绕生物医药前沿技术设置主会场并开设了“狂犬病防控论坛”、“抗体药物产业化论坛”、“生物制药工程技术论坛”等14个平行分论坛，此次会议邀请了在国内生物制药领域取得突出成果并具有重要学术影响的专家学者进行学术报告交流。 华北制药 股份公司副总经理、新药公司总经理高健做了题为《抗狂犬病毒单抗研发主要科学问题探讨》的学术报告，他对中国狂犬病流行及防控现状、狂犬病致病机理及暴露后处置、狂犬病单克隆抗体研发进展等相关内容进行了现场交流。随后，高健就 华北制药 潜心研发的国家一类新药重组人源抗狂犬病毒单抗注射液的作用机理和产品优势进行了详细介绍。学术报告精彩纷呈，会议现场气氛热烈。 新药公司准备充分，在分会场现场播放企业宣传片，展示生物医药新技术与新成果，引来客商驻足新药公司展台前咨询洽谈，工作人员热情向宾客进行企业和产品推介，并积极解答客户咨询问题，不少客商慕名而来，咨询华药新产品，表达了合作愿望。（孔梦蝶宋欣）
2021-12-21 22:20:00,那些喷9527的，麻烦加上前缀好么，，，
2021-12-21 22:38:00,趋势已经走坏了，可能狗坑黄了，连续两个跌停
2021-12-21 23:47:00,不管别人怎么评价，坚持自己的看法
2021-12-22 00:31:00,321！！！！
2021-12-22 00:45:00,看到这么多唱空的，我就知道这股还有希望。
2021-12-22 00:48:00,狗抗还有救吗
2021-12-22 04:42:00,中期头部确立，再减半仓，新年后再看
2021-12-22 05:18:00,你脑子再怎么蠢，“股价反映一切”这个逻辑总应该明白的吧。注意吧里有鬼，太阳底下没有新鲜事
2021-12-22 06:25:00,冤枉郝竹山秘书长了，原来杨印钞这小子上来开始拖欠华药部分员工薪水的了？ 冀中能源 集团人事变动偷偷摸摸呀！
2021-12-22 07:27:00,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月21日融资净偿还467.23万元；融资余额6.88亿元，较前一日下降0.91% 融资方面，当日融资买入2171.7万元，融资偿还2638.93万元，融资净偿还467.23万元。融券方面，融券卖出0股，融券偿还0股，融券余量22.5万股，融券余额241.2万元。融资融券余额合计6.91亿元。 华北制药融资融券交易明细（12-21） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
2021-12-22 07:38:00,今明两天有公告，根据a股的尿性，主力资金必然提前知晓狗抗的结果，所以对于散户来说如何判断狗抗的命运，只需看今明两天华北制药的走势就一目了然了。
2021-12-22 08:19:00,现在是一个点都要卖了….  哩哩啦啦兄弟 10块钱能把我的收了不
2021-12-22 08:25:00,这里的热闹比宏慌之力和蕾神之锤要精彩
2021-12-22 08:26:00,华药主力此时的态度吧，这就是个性！
2021-12-22 08:37:00,真的假不了（迅可，奥木替韦单抗注射液）批文！
2021-12-22 08:55:00,我目前持有华北150万股，今明两天伺机而动。
2021-12-22 09:01:00,犬单抗新药公司主营董事长总经理这么说！！！！ 华药集团新药公司参展第21届中国生物制品年会 文章来源： 发布时间2021-10-25 15:23:39 华药集团新药公司参展第21届中国生物制品年会 10月14日至10月16日，第21届中国生物制品年会在南京国际博览中心隆重举行。大会云集了最具影响力的科研工作者与最具实力的生物医药创新企业， 华北制药 新药公司作为生物医药领域领军企业参加了本次盛会。 新药1.jpg 本次大会由中国疫苗行业协会、中国药学会生物药品与质量研究专业委员会、中华预防医学会生物制品分会、中华预防医学会疫苗与免疫分会、 中国医药 生物技术协会疫苗专业委员会、中国微生物学会生物制品专业委员会共同主办。来自全国各地疫苗行业的科研人士、业界专家、企业代表齐聚一堂。 会议围绕生物医药前沿技术设置主会场并开设了“狂犬病防控论坛”、“抗体药物产业化论坛”、“生物制药工程技术论坛”等14个平行分论坛，此次会议邀请了在国内生物制药领域取得突出成果并具有重要学术影响的专家学者进行学术报告交流。 华北制药 股份公司副总经理、新药公司总经理高健做了题为《抗狂犬病毒单抗研发主要科学问题探讨》的学术报告，他对中国狂犬病流行及防控现状、狂犬病致病机理及暴露后处置、狂犬病单克隆抗体研发进展等相关内容进行了现场交流。随后，高健就 华北制药 潜心研发的国家一类新药重组人源抗狂犬病毒单抗注射液的作用机理和产品优势进行了详细介绍。学术报告精彩纷呈，会议现场气氛热烈。 新药2.jpg 新药公司准备充分，在分会场现场播放企业宣传片，展示生物医药新技术与新成果，引来客商驻足新药公司展台前咨询洽谈，工作人员热情向宾客进行企业和产品推介，并积极解答客户咨询问题，不少客商慕名而来，咨询华药新产品，表达了合作愿望。（孔梦蝶 宋欣） 河北省国资委带记者团走进华北制药 权伟娜 文并图 华北制药 2021-10-18 19:50 秋高气爽，凉风习习。10月14日，华药“品质文化之旅”迎来一群特殊的客人——省国资委外联处处长张瑞娥带队，新华社、 人民网 、经济日报等16家媒体组成的河北省国资委“国企改革三年行动”示范企业集中报道暨“新闻媒体国企行”记者团，专程前来，宣传华药“科改”成就、探访华药品质文化。 这里面的原液一罐要几百万！ 生产设备全部智能化，车间工人劳动强度大大降低 初到生物药基地抗体车间，新药公司党委副书记马岩热情地为媒体朋友介绍着公司高精尖设备和产品。 生物药研发真是高端！ 这些设备仪器真先进，难怪生物药科技含量高 穿梭在车间参观走廊和生物所实验室，面对动辄百万价值的精密仪器，听着工作人员的耐心讲解，媒体记者们不住地赞叹。 图片 “新药公司是国务院纳入’科改’示范企业的河北两家企业之一，多年来创新成果不断，特别是国家一类新药基因重组人源抗狂犬病毒单抗注射液，历经18年研发，终于要出结果。希望媒体朋友们能够深度挖掘素材，讲好企业故事，助力企业更好发展。” 省国资委外联处处长张瑞娥表示。 图片 2020年，新药公司入选国务院“科改”示范企业，公司积极行动，重点在完善法人治理结构、健全市场化选人用人机制、完善市场化激励约束机制、激发科技创新动能等方面担当作为，取得显著成效。华药股份公司副总经理，新药公司党委书记、董事长高凌云表示：“一年多以来，在国务院国资委和省国资委的指导下，公司进行了经理层成员的任期制契约化管理、推进了市场化用工改革、以业绩定薪酬，在短期激励和中长期激励等方面都进行了大胆探索和实践。公司将以‘科改’为契机，正积极引战、混改、丰富研发管线，力争2025年在科创板上市，成为真正的创新发展企业。” 【本期编辑 常青
2021-12-22 09:02:00,"润医药重组 华北制药 - 视野知识研究院 华润医药重组 华北制药 华润医药集团有限公司的发展战略 以品牌中药、医药分销、品牌化学普药为核心业务,通过并购重组、业务整合、市场拓展、管理提"
2021-12-22 09:26:00,，10块多就总是过不去了，来来回回
2021-12-22 10:03:00,来源：东方财富Choice数据   以下是华北制药在北京时间12月22日10:03分盘口异动快照： 12月22日，华北制药盘中快速上涨，5分钟内涨幅超过2%，截至10点03分，报11.02元，成交4806.47万元，换手率0.27%。 分笔 10:03:33 11.02 475↑ 10:03:30 11.01 1105↑ 10:03:27 11.00 632↑ 10:03:24 10.98 282↑ 10:03:21 10.97 240↑ 10:03:18 10.95 27↓ 10:03:15 10.95 269↑ 10:03:12 10.94 532↓ 10:03:09 10.95 114↑ 10:03:06 10.95 106↑ 报价 卖五 11.06 26 卖四 11.05 175 卖三 11.04 50 卖二 11.03 24 卖一 11.02 83 买一 11 339 买二 10.99 144 买三 10.98 271 买四 10.97 101 买五 10.96 260 最新： 11.02 涨幅： 2.80% 涨跌： 0.3 换手率：0.27% 成交量：4.44万手 成交额：4806.47万元 主力净流入： -31.77万 元   12月22日，华北制药盘中快速上涨，5分钟内涨幅超过2%，截至10点03分，报11.02元，成交4806.47万元，换手率0.27%。 注：以上信息仅供参考，不对您构成任何投资建议。 （文章来源：东方财富Choice数据）  [点击查看原文]
2021-12-22 10:49:00,亏
2021-12-22 10:57:00,10.5 进5成仓
2021-12-22 11:03:00,融资余额多少？
2021-12-22 11:25:00,有可能是洗盘吸筹，只是猜测
2021-12-22 11:28:00,能涨停，我就出啦
2021-12-22 11:34:00,新一轮拉升又要？
2021-12-22 11:35:00,能涨停我就进来，站岗我也愿意，兄弟们我掩护你们撤退。
2021-12-22 11:36:00,唱空的傻小子出来走两步
2021-12-22 11:54:00,搞什么飞机 11块钱卖了，想等下来做个T……你赶紧立刻给我下来
2021-12-22 12:01:00,【看来南地块土地款敲定！地产项目开工】
2021-12-22 12:20:00,11.2进来的，还有活路不？
2021-12-22 12:27:00,（迅可，奥木替韦单抗注射液）闪耀登场！！！ 集华北制药研发中心，生物制药及新生物药生产中心组成的新药公司在研产品1个创新药重组人源抗狂犬病毒单抗注射液（迅可，奥木替韦单抗注射液）完成临床III期报产待批（过会生产批文），1个创新药处于临床Ⅰ/Ⅱ期、2个单抗产品临床I期、10余个产品处于临床前研究；并有多个新品处于立项阶段。其中，迅可是我国第一个报产的抗感染单抗，2020年被国家药品审评中心纳入优先审评品种，现已顺利完成现场核查，未来将替代人免疫球蛋白，被业界誉为“开启狂犬病被动免疫的新时代”，成为华北制药创新转型的重要支撑。
2021-12-22 12:39:00,回踩五周线，决战在下本周吗
2021-12-22 12:41:00,昨天破位跑路，今天就涨
2021-12-22 12:56:00,盘久必跌
2021-12-22 13:01:00,下午开盘直接拉停
2021-12-22 13:03:00,告诉你规律，今天macd出绿，理论上应出现比昨天还要低的价格，现在已经完成了，然后高度绝对不会超过昨天最高或开盘价。结论，今天就是在昨天阴线内运行，明天可能继续调整
2021-12-22 13:07:00,我国第一个抗感染单抗！！！！！
2021-12-22 13:08:00,韩跃伟介绍了华润医药集团的产业发展情况，认为与 华北制药 集团存在很多互补之处。他表达了在河北省投资合作的良好愿望，希望双方进一步接洽商讨，加大产业协同，推进合作共赢，助力河北医药行业做强做大，为河北经济发展做出更大贡献。一同参与会谈的还有华润河北医药有限公司总经理谷勇军
2021-12-22 13:10:00,，一分钟的涨，N次的跌
2021-12-22 13:42:00,下午表演跳水，11块万手托单必破
2021-12-22 14:06:00,万手哥托单，让各位散户朋友放心大胆抄底?呵呵
2021-12-22 14:34:00,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月15日融资净买入1091.62万元；融资余额6.65亿元，较前一日增加1.67% 融资方面，当日融资买入4250.32万元，融资偿还3158.7万元，融资净买入1091.62万元，连续4日净买入累计4655.11万元。融券方面，融券卖出4.79万股，融券偿还5.2万股，融券余量37.38万股，融券余额414.58万元。融资融券余额合计6.69亿元。 华北制药融资融券交易明细（12-15） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
2021-12-22 14:43:00,是不是要出公告了
2021-12-22 14:46:00,没有人会因为有一万手买单就买吧。
